,id_text,ruler,year,month,day,date_of_origin,date,long_date,date_gen,day,long_date_gen,month,year,eponym,regnal_dates,ancient_year,date_bce,months_recorded,date_comments,proposed_date,eponym_title,astron_date,Reg_year,Reg_no,dynastic_seat,ancient_date
857,p336282,Adad-nerari III,[809],[XII],[06],00.[06],[809]-[XII]-[06],"[Addaru 6th, eponymy of Adad-nērārī (III), king of Assyria]",[809]-[XII]-[06],[06],[06]th,[XII],[809],,,,,,,-809,,,,,,
858,p336283,Adad-nerari III,790,[...],[...],00.limu shep-shamash.00.00,790-[...]-[...],"[... ...th], eponymy of Š[ēp-Šamaš], governor of [Isāna]",790-[...]-[...],[...],"... ...th, eponymy of Šēp-Šamaš",[...],790,Šēp-Šamaš,,,,,,-790,governor of Isāna,,,,,
859,p336284,Adad-nerari III,[790],[...],[...],00..00.00,[790]-[...]-[...],"[... ...th], eponymy of Š[ēp-Šamaš, governor of Isāna]",[790]-[...]-[...],[...],... ...th,[...],[790],,,,,,,-790,,,,,,
860,p336285,Adad-nerari III,[790],[...],[...],00..00.00,[790]-[...]-[...],"[... ...th], eponymy of Š[ēp-Šamaš, governor of Isāna]",[790]-[...]-[...],[...],... ...th,[...],[790],,,,,,,-790,,,,,,
861,p336286,Adad-nerari III,,,,00.000.00.00,,,,,,,,,,,,,,(810-783),,,,,,
862,p336307,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(9th-7th century),,,,,,
863,p336308,Ashurbanipal,,,,assurbanipal.000.00.00,,,,,,,,,668–ca. 631 BC,,,,,(668-ca. 631),,,,,,
864,p336309,Ashurbanipal,,,,assurbanipal.000.00.00,,,,,,,,,668–ca. 631 BC,,,,,(668-ca. 631),,,,,,
865,p336311,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
866,p336312,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
867,p336314,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
868,p336315,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
869,p336316,Sennacherib,683,,,sennacherib.limu mannu-ki-adad.00.00,683,"22nd year of Sennacherib, king of As[syria]",683,,", eponymy of Mannu-kī-Adad",,683,Mannu-kī-Adad,704–681 BC,,,,,-683,governor of Ṣubat,,,,,
870,p336317,Sennacherib,,,,sennacherib.000.00.00,,,,,,,,,704–681 BC,,,,,(683 or 682),,,,,,
871,p336318,Tukulti-Ninurta I,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
872,p336319,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,(672-669 or 668-ca. 631),,,,,,
873,p336320,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
874,p336321,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
875,p336809,Esarhaddon,674,VIII,1,esarhaddon.limu sharru-nuri.08.01,674-VIII-1,,674-VIII-01,1,"Arahsamna 1st, eponymy of Šarru-nūrī",VIII,674,Šarru-nūrī,680–669 BC,,,,,,,,,,,
877,p336811,Sennacherib,692,VII,5,sennacherib.limu zazaya.07.05,692-VII-5 (?),,692-VII-05,5,"Tašrītu 5th, eponymy of Zazāya",VII,692,Zazāya,704–681 BC,,,,,,,,,,,
878,p336812,Sennacherib,692,VIII,5,sennacherib.limu zazaya.08.05,692-VIII-5,,692-VIII-05,5,"Arahsamna 5th, eponymy of Zazāya",VIII,692,Zazāya,704–681 BC,,,,,,,,,,,
879,p336813,Ashurbanipal or Aššur-etel-ilāni,644* or 629*,VII,15,00.000.07.15,644/629-VII-15,,644* or 629*-VII-15,15,Tašrītu 15th,VII,644* or 629*,,,,,,,,,,,,,
880,p336814,Sîn-šarru-iškun,620*,XII,1,sin-sharru-ishkun.limu sa’ilu.12.01,620-XII-1,,620*-XII-01,1,"Addaru 1st, eponymy of Sa’īlu",XII,620*,Sa’īlu,ca. 626–612 BC,,,,,,,,,,,
884,p336818,Ashurbanipal,634*,III,11,assurbanipal.limu bullutu.03.11,634-III-11,,634*-III-11,11,"Simānu 11th, eponymy of Bulluṭu",III,634*,Bulluṭu,668–ca. 631 BC,,,,,,,,,,,
887,p336821,Ashurbanipal,653,VII,11,assurbanipal.limu assur-ila’i.07.11,653-VII-11,,653-VII-11,11,"Tašrītu 11th, eponymy of Aššur-ilā’ī",VII,653,Aššur-ilā’ī,668–ca. 631 BC,,,,,,,,,,,
891,p336825,Ashurbanipal,641*,I,22,assurbanipal.limu assur-garu’a-nere.01.22,641-I-22,,641*-I-22,22,"Nisannu 22nd, eponymy of Aššur-gārū’a-nēre",I,641*,Aššur-gārū’a-nēre,668–ca. 631 BC,,,,,,,,,,,
892,p336826,Ashurbanipal,641*,I,22,assurbanipal.limu assur-garu’a-nere.01.22,641-I-22,,641*-I-22,22,"Nisannu 22nd, eponymy of Aššur-gārū’a-nēre",I,641*,Aššur-gārū’a-nēre,668–ca. 631 BC,,,,,,,,,,,
893,p336827,Aššur-etel-ilani,629*,VIII,1,assur-etel-ilani.limu nabu-sharru-usur.08.01,629-VIII-1,,629*-VIII-01,1,"Arahsamna 1st, eponymy of Nabû-šarru-uṣur",VIII,629*,Nabû-šarru-uṣur,ca. 630–627 BC,,,,,,,,,,,
894,p336828,Aššur-etel-ilani,629*,VIII,1,assur-etel-ilani.limu nabu-sharru-usur.08.01,629-VIII-1,,629*-VIII-01,1,"Arahsamna 1st, eponymy of Nabû-šarru-uṣur",VIII,629*,Nabû-šarru-uṣur,ca. 630–627 BC,,,,,,,,,,,
895,p336829,Sîn-šarru-iškun,625*,X,8,sin-sharru-ishkun.limu sin-sharru-usur.10.08,625-X-8,,625*-X-08,8,"Kanūnu 8th, eponymy of Sîn-šarru-uṣur",X,625*,Sîn-šarru-uṣur,ca. 626–612 BC,,,,,,,,,,,
896,p336830,Sîn-šarru-iškun,621*,VIII,20,sin-sharru-ishkun.limu bel-iqbi.08.20,621-VIII-20,,621*-VIII-20,20,"Arahsamna 20th, eponymy of Bēl-iqbi",VIII,621*,Bēl-iqbi,ca. 626–612 BC,,,,,,,,,,,
897,p336831,Sîn-šarru-iškun,621*,VIII,20,sin-sharru-ishkun.limu bel-iqbi.08.20,621-VIII-20,,621*-VIII-20,20,"Arahsamna 20th, eponymy of Bēl-iqbi",VIII,621*,Bēl-iqbi,ca. 626–612 BC,,,,,,,,,,,
898,p336832,Sîn-šarru-iškun,617*,VIII,1,sin-sharru-ishkun.limu assur-remanni.08.01,617-VIII-1,,617*-VIII-01,1,"Arahsamna 1st, eponymy of Aššur-rēmanni",VIII,617*,Aššur-rēmanni,ca. 626–612 BC,,,,,,,,,,,
899,p336833,Sîn-šarru-iškun,619*,VII,8,sin-sharru-ishkun.limu mannu-ki-ahhe.07.08,619-VII-8,,619*-VII-08,8,"Tašrītu 8th, eponymy of Mannu-kī-ahhē",VII,619*,Mannu-kī-ahhē,ca. 626–612 BC,,,,,,,,,,,
900,p336834,Sîn-šarru-iškun,619*,VIII,8,sin-sharru-ishkun.limu mannu-ki-ahhe.08.08,619-VIII-8,,619*-VIII-08,8,"Arahsamna 8th, eponymy of Mannu-kī-ahhē",VIII,619*,Mannu-kī-ahhē,ca. 626–612 BC,,,,,,,,,,,
901,p336835,Sîn-šarru-iškun,618*,XII,26,sin-sharru-ishkun.limu nabu-sagibi.12.26,618-XII-26,,618*-XII-26,26,"Addaru 26th, eponymy of Nabû-sagībi",XII,618*,Nabû-sagībi,ca. 626–612 BC,,,,,,,,,,,
902,p336836,Sîn-šarru-iškun,614*,VII,,sin-sharru-ishkun.limu pashi.07.00,614-VII,,614*-VII,,"Tašrītu, eponymy of Pašî",VII,614*,Pašî,ca. 626–612 BC,,,,,,,,,,,
905,p336839,Aššur-etel-ilāni,630*,XI,4,assur-etel-ilani.limu salmu-sharru-iqbi.11.04,630-XI-4,,630*-XI-04,4,"Šabāṭu 4th, eponymy of Ṣalmu-šarru-iqbi",XI,630*,Ṣalmu-šarru-iqbi,ca. 630–627 BC,,,,,,,,,,,
908,p336842,Sargon II,717,III,26,sargon2.limu tab-shar-assur.03.26,717-III-26,,717-III-26,26,"Simānu 26th, eponymy of Ṭāb-šār-Aššur",III,717,Ṭāb-šār-Aššur,721–705 BC,,,,,,,,,,,
909,p336843,Sargon II,717,III,26,sargon2.limu tab-shar-assur.03.26,717-III-26,,717-III-26,26,"Simānu 26th, eponymy of Ṭāb-šār-Aššur",III,717,Ṭāb-šār-Aššur,721–705 BC,,,,,,,,,,,
910,p336844,Esarhaddon,672,V,11,esarhaddon.limu nabu-belu-usur.05.11,672-V-11,,672-V-11,11,"Abu 11th, eponymy of Nabû-bēlu-uṣur",V,672,Nabû-bēlu-uṣur,680–669 BC,,,,,,,,,,,
911,p336845,Ashurbanipal,666,[...],8,assurbanipal.limu kanunayu.00.08,666-?-8,,666-[...]-08,8,"... 8th, eponymy of Kanūnāyu",[...],666,Kanūnāyu,668–ca. 631 BC,,,,,,,,,,,
912,p336846,Ashurbanipal,657,VII,2,assurbanipal.limu labashi.07.02,657-VII-2?,,657-VII-02,2,"Tašrītu 2nd, eponymy of Lâbâši",VII,657,Lâbâši,668–ca. 631 BC,,,,,,,,,,,
913,p336847,Ashurbanipal,656,II,18,assurbanipal.limu milki-ramu.02.18,656-II-18,,656-II-18,18,"Ayyāru 18th, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
914,p336848,Ashurbanipal,656,II,18,assurbanipal.limu milki-ramu.02.18,656-II-18,,656-II-18,18,"Ayyāru 18th, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
915,p336849,Ashurbanipal,656,II,18,assurbanipal.limu milki-ramu.02.18,656-II-18,,656-II-18,18,"Ayyāru 18th, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
916,p336850,Ashurbanipal,656,II,18,assurbanipal.limu milki-ramu.02.18,656-II-18,,656-II-18,18,"Ayyāru 18th, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
917,p336851,Ashurbanipal,656,II,28,assurbanipal.limu milki-ramu.02.28,656-II-28,,656-II-28,28,"Ayyāru 28th, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
918,p336852,Ashurbanipal,656,II,28,assurbanipal.limu milki-ramu.02.28,656-II-28,,656-II-28,28,"Ayyāru 28th, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
919,p336853,Ashurbanipal,656,V,4,assurbanipal.limu milki-ramu.05.04,656-V-4,,656-V-04,4,"Abu 4th, eponymy of Milki-rāmu",V,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
920,p336854,Ashurbanipal,656,V,4,assurbanipal.limu milki-ramu.05.04,656-V-4,,656-V-04,4,"Abu 4th, eponymy of Milki-rāmu",V,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
921,p336855,Ashurbanipal,639*,VI,23,assurbanipal.limu mushallim-assur.06.23,639-VI-23,,639*-VI-23,23,"Ulūlu 23rd, eponymy of Mušallim-Aššur",VI,639*,Mušallim-Aššur,668–ca. 631 BC,,,,,,,,,,,
922,p336856,Ashurbanipal,639*,VI,23,assurbanipal.limu mushallim-assur.06.23,639-VI-23,,639*-VI-23,23,"Ulūlu 23rd, eponymy of Mušallim-Aššur",VI,639*,Mušallim-Aššur,668–ca. 631 BC,,,,,,,,,,,
923,p336857,Aššur-etel-ilani,627*,VII,21,assur-etel-ilani.limu marduk-sharru-usur.07.21,627-VII-21,,627*-VII-21,21,"Tašrītu 21st, eponymy of Marduk-šarru-uṣur",VII,627*,Marduk-šarru-uṣur,ca. 630–627 BC,,,,,,,,,,,
924,p336858,Aššur-etel-ilani,627*,VII,21,assur-etel-ilani.limu marduk-sharru-usur.07.21,627-VII-21,,627*-VII-21,21,"Tašrītu 21st, eponymy of Marduk-šarru-uṣur",VII,627*,Marduk-šarru-uṣur,ca. 630–627 BC,,,,,,,,,,,
925,p336859,Sîn-šarru-iškun,619*,XII₂,19,sin-sharru-ishkun.limu mannu-ki-ahhe.12/2.19,619-XIIb-19,,619*-XII₂-19,19,"Intercalary Addaru 19th, eponymy of Mannu-kī-ahhē",XII₂,619*,Mannu-kī-ahhē,ca. 626–612 BC,,,,,,,,,,,
926,p336860,Sargon II,708,VIII,22,sargon2.limu shamash-upahhir.08.22,708-VIII-22,,708-VIII-22,22,"Arahsamna 22nd, eponymy of Šamaš-upahhir",VIII,708,Šamaš-upahhir,721–705 BC,,,,,,,,,,,
927,p336861,Sennacherib,700,VII,1,sennacherib.limu mitunu.07.01,700-VII-1,,700-VII-01,1,"Tašrītu 1st, eponymy of Mitūnu",VII,700,Mitūnu,704–681 BC,,,,,,,,,,,
928,p336862,Ashurbanipal,654,VI,1,assurbanipal.limu assur-nasir.06.01,654-VI-1,,654-VI-01,1,"Ulūlu 1st, eponymy of Aššur-nāṣir",VI,654,Aššur-nāṣir,668–ca. 631 BC,,,,,,,,,,,
929,p336863,Ashurbanipal,654,VI,1,assurbanipal.limu assur-nasir.06.01,654-VI-1,,654-VI-01,1,"Ulūlu 1st, eponymy of Aššur-nāṣir",VI,654,Aššur-nāṣir,668–ca. 631 BC,,,,,,,,,,,
930,p336864,Ashurbanipal,651,XI,21,assurbanipal.limu sagabbu.11.21,651-XI-21,,651-XI-21,21,"Šabāṭu 21st, eponymy of Sagabbu",XI,651,Sagabbu,668–ca. 631 BC,,,,,,,,,,,
931,p336865,Ashurbanipal,651,XI,21,assurbanipal.limu sagabbu.11.21,651-XI-21,,651-XI-21,21,"Šabāṭu 21st, eponymy of Sagabbu",XI,651,Sagabbu,668–ca. 631 BC,,,,,,,,,,,
932,p336866,Ashurbanipal,650,I,,assurbanipal.limu bel-harran-shaddu’a.01.00,650-I,,650-I,,"Nisannu, eponymy of Bēl-Harrān-šaddû’a",I,650,Bēl-Harrān-šaddû’a,668–ca. 631 BC,,,,,,,,,,,
933,p336867,Ashurbanipal,650,I,,assurbanipal.limu bel-harran-shaddu’a.01.00,650-I,,650-I,,"Nisannu, eponymy of Bēl-Harrān-šaddû’a",I,650,Bēl-Harrān-šaddû’a,668–ca. 631 BC,,,,,,,,,,,
934,p336868,Sîn-šarru-iškun,621*,II,23,sin-sharru-ishkun.limu bel-iqbi.02.23,621-II-23,,621*-II-23,23,"Ayyāru 23rd, eponymy of Bēl-iqbi",II,621*,Bēl-iqbi,ca. 626–612 BC,,,,,,,,,,,
935,p336869,Sîn-šarru-iškun,621*,II,23,sin-sharru-ishkun.limu bel-iqbi.02.23,621-II-23,,621*-II-23,23,"Ayyāru 23rd, eponymy of Bēl-iqbi",II,621*,Bēl-iqbi,ca. 626–612 BC,,,,,,,,,,,
938,p336872,Sennacherib,695,I,1,sennacherib.limu assur-belu-usur.01.01,695-I-1,,695-I-01,1,"Nisannu 1st, eponymy of Aššur-bēlu-uṣur",I,695,Aššur-bēlu-uṣur,704–681 BC,,,,,,,,,,,
939,p336873,Sennacherib,689,,,sennacherib.limu gihilu.00.00,689,,689,,", eponymy of Gihilu",,689,Gihilu,704–681 BC,,,,,,,,,,,
940,p336874,Sennacherib,688,,,sennacherib.limu iddin-ahhe.00.00,688 (?),,688,,", eponymy of Iddin-ahhē",,688,Iddin-ahhē,704–681 BC,,,,,,,,,,,
941,p336875,Sennacherib,687,V,25,sennacherib.limu sennacherib.05.25,687-V-25,,687-V-25,25,"Abu 25th, eponymy of Sennacherib",V,687,Sennacherib,704–681 BC,,,,,,,,,,,
942,p336876,Sennacherib,686,IV,10,sennacherib.limu bel-emuranni.04.10,686?-IV-10,,686-IV-10,10,"Duʾūzu 10th, eponymy of Bēl-ēmuranni",IV,686,Bēl-ēmuranni,704–681 BC,,,,,,,,,,,
943,p336877,Sennacherib,686,V,12,sennacherib.limu bel-emuranni.05.12,686-V-12,,686-V-12,12,"Abu 12th, eponymy of Bēl-ēmuranni",V,686,Bēl-ēmuranni,704–681 BC,,,,,,,,,,,
944,p336878,Sennacherib,682,I,20,sennacherib.limu nabu-sharru-usur.01.20,682-I-20,,682-I-20,20,"Nisannu 20th, eponymy of Nabû-šarru-uṣur",I,682,Nabû-šarru-uṣur,704–681 BC,,,,,,,,,,,
945,p336879,Esarhaddon,677,XII,1,esarhaddon.limu abi-ramu.12.01,677-XII-1,,677-XII-01,1,"Addaru 1st, eponymy of Abi-rāmu",XII,677,Abi-rāmu,680–669 BC,,,,,,,,,,,
946,p336880,Ashurbanipal,668,VI,13,assurbanipal.limu mar-larim.06.13,668-VI-13,,668-VI-13,13,"Ulūlu 13th, eponymy of Mār-larīm",VI,668,Mār-larīm,668–ca. 631 BC,,,,,,,,,,,
947,p336881,Ashurbanipal,658,I,15,assurbanipal.limu sha-nabu-shu.01.15,658-I-15,,658-I-15,15,"Nisannu 15th, eponymy of Ša-Nabû-šû",I,658,Ša-Nabû-šû,668–ca. 631 BC,,,,,,,,,,,
948,p336882,Ashurbanipal,658,II,6,assurbanipal.limu sha-nabu-shu.02.06,658-II-6,,658-II-06,6,"Ayyāru 6th, eponymy of Ša-Nabû-šû",II,658,Ša-Nabû-šû,668–ca. 631 BC,,,,,,,,,,,
949,p336883,Ashurbanipal,656,II,1,assurbanipal.limu milki-ramu.02.01,656-II-1,,656-II-01,1,"Ayyāru 1st, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
950,p336884,Ashurbanipal,656,II,1,assurbanipal.limu milki-ramu.02.01,656-II-1,,656-II-01,1,"Ayyāru 1st, eponymy of Milki-rāmu",II,656,Milki-rāmu,668–ca. 631 BC,,,,,,,,,,,
951,p336885,Ashurbanipal,643*,VII,10,assurbanipal.limu assur-sharru-usur.07.10,643-VII-10,,643*-VII-10,10,"Tašrītu 10th, eponymy of Aššur-šarru-uṣur",VII,643*,Aššur-šarru-uṣur,668–ca. 631 BC,,,,,,,,,,,
952,p336886,"Ashurbanipal, Aššur-etel-ilāni, or Nabopolassar","644*, 629*, or 610",V,20,00.000.05.20,644/629/610-V-20,,"644*, 629*, or 610-V-20",20,Abu 20th,V,"644*, 629*, or 610",,,,,,,,,,,,,
953,p336887,Ashurbanipal,641*,XI,18,assurbanipal.limu assur-garu’a-nere.11.18,641-XI-18,,641*-XI-18,18,"Šabāṭu 18th, eponymy of Aššur-gārū’a-nēre",XI,641*,Aššur-gārū’a-nēre,668–ca. 631 BC,,,,,,,,,,,
954,p336888,Sîn-šarru-iškun,625*,IX,4,sin-sharru-ishkun.limu sin-sharru-usur.09.04,625-IX-4,,625*-IX-04,4,"Kislīmu 4th, eponymy of Sîn-šarru-uṣur",IX,625*,Sîn-šarru-uṣur,ca. 626–612 BC,,,,,,,,,,,
955,p336889,Sîn-šarru-iškun,625*,X,7,sin-sharru-ishkun.limu sin-sharru-usur.10.07,625-X-7,,625*-X-07,7,"Kanūnu 7th, eponymy of Sîn-šarru-uṣur",X,625*,Sîn-šarru-uṣur,ca. 626–612 BC,,,,,,,,,,,
956,p336890,Sîn-šarru-iškun,624*,,,sin-sharru-ishkun.limu kanunayu.00.00,624,,624*,,", eponymy of Kanūnāyu",,624*,Kanūnāyu,ca. 626–612 BC,,,,,,,,,,,
