,id_text,ruler,year,month,day,date_of_origin,date,long_date,date_gen,day,long_date_gen,month,year,eponym,regnal_dates,ancient_year,date_bce,months_recorded,date_comments,proposed_date,eponym_title,astron_date,Reg_year,Reg_no,dynastic_seat,ancient_date
31692,p222361,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31693,p222362,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31694,p222363,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31695,p222364,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31696,p222365,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31697,p222366,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31698,p222367,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31699,p222368,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31700,p222369,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31701,p222370,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31702,p222371,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31703,p222372,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31704,p222373,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31705,p222374,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31706,p222375,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31707,p222376,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31708,p222377,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31709,p222378,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31710,p222379,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31711,p222380,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31712,p222381,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31713,p222382,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31714,p222383,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31715,p222384,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31716,p222385,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31717,p222386,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31718,p222387,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31719,p222388,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31720,p222389,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31721,p222390,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31722,p222391,Ur-Nanše,,,,,,,,,,,,,,,,,,,,,,,,
31723,p222392,A-kurgal,,,,,,,,,,,,,,,,,,,,,,,,
31724,p222393,A-kurgal,,,,,,,,,,,,,,,,,,,,,,,,
31725,p222395,A-kurgal,,,,,,,,,,,,,,,,,,,,,,,,
31726,p222396,A-kurgal,,,,,,,,,,,,,,,,,,,,,,,,
31727,p222397,A-kurgal,,,,,,,,,,,,,,,,,,,,,,,,
31728,p222398,A-kurgal; En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31729,p222399,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31730,p222400,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31731,p222401,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31732,p222402,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31733,p222403,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31734,p222404,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31735,p222406,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31736,p222407,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31737,p222408,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31738,p222409,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31739,p222410,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31740,p222411,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31741,p222412,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31742,p222413,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31743,p222414,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31744,p222415,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31745,p222416,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31746,p222417,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31747,p222418,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31748,p222419,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31749,p222420,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31750,p222421,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31751,p222422,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31752,p222423,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31753,p222424,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31754,p222425,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31755,p222426,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31756,p222427,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31757,p222428,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31758,p222429,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31759,p222430,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31760,p222431,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31761,p222432,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31762,p222433,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31763,p222434,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31764,p222435,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31765,p222436,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31766,p222437,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31767,p222438,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31768,p222439,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31769,p222440,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31770,p222441,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31771,p222442,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31772,p222443,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31773,p222444,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31774,p222445,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31775,p222446,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31776,p222447,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31777,p222448,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31778,p222449,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31779,p222450,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31780,p222451,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31781,p222452,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31782,p222453,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31783,p222454,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31784,p222455,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31785,p222456,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31786,p222457,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31787,p222458,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31788,p222459,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31789,p222460,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31790,p222461,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31791,p222462,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31792,p222463,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31793,p222465,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31794,p222466,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31795,p222467,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31796,p222468,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31797,p222469,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31798,p222470,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31799,p222471,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31800,p222472,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31801,p222473,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31802,p222474,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31803,p222475,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31804,p222476,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31805,p222477,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31806,p222478,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31807,p222479,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31808,p222480,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31809,p222481,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31810,p222482,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31811,p222483,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31812,p222484,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31813,p222485,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31814,p222486,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31815,p222487,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31816,p222488,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31817,p222489,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31818,p222490,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31819,p222491,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31820,p222492,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31821,p222493,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31822,p222494,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31823,p222495,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31824,p222496,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31825,p222497,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31826,p222498,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31827,p222499,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31828,p222500,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31829,p222501,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31830,p222502,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31831,p222503,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31832,p222504,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31833,p222505,En-anatum I,,,,,,,,,,,,,,,,,,,,,,,,
31834,p222506,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31835,p222507,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31836,p222508,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31837,p222509,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31838,p222510,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31839,p222511,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31840,p222512,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31841,p222513,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31842,p222514,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31843,p222515,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31844,p222516,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31845,p222517,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31846,p222518,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31847,p222519,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31848,p222520,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31849,p222521,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31850,p222522,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31851,p222523,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31852,p222524,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31853,p222525,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31854,p222526,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31855,p222527,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31856,p222528,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31857,p222529,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31858,p222530,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31859,p222531,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31860,p222532,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31861,p222533,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31862,p222534,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31863,p222535,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31864,p222536,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31865,p222537,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31866,p222538,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31867,p222539,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31868,p222540,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31869,p222541,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31870,p222542,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31871,p222543,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31872,p222544,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31873,p222545,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31874,p222546,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31875,p222547,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31876,p222548,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31877,p222549,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31878,p222550,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31879,p222551,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31880,p222552,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31881,p222553,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31882,p222554,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31883,p222555,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31884,p222556,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31885,p222557,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31886,p222558,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31887,p222559,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31888,p222560,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31889,p222561,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31890,p222562,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31891,p222563,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31892,p222564,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31893,p222565,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31894,p222566,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31895,p222567,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31896,p222568,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31897,p222569,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31898,p222570,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31899,p222571,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31900,p222572,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31901,p222573,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31902,p222574,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31903,p222575,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31904,p222576,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31905,p222577,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31906,p222578,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31907,p222580,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31908,p222581,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31909,p222582,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31910,p222583,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31911,p222584,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31912,p222585,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31913,p222586,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31914,p222587,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31915,p222588,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31916,p222589,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31917,p222590,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31918,p222591,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31919,p222592,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31920,p222593,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31921,p222594,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31922,p222595,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31923,p222596,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31924,p222597,En-metena,,,,,,,,,,,,,,,,,,,,,,,,
31925,p222598,En-anatum II,,,,,,,,,,,,,,,,,,,,,,,,
31926,p222599,En-anatum II,,,,,,,,,,,,,,,,,,,,,,,,
31927,p222600,En-anatum II,,,,,,,,,,,,,,,,,,,,,,,,
31928,p222601,En-anatum II,,,,,,,,,,,,,,,,,,,,,,,,
31929,p222602,En-entarzi,,,,,,,,,,,,,,,,,,,,,,,,
31930,p222603,Lugal-Anda,,,,,,,,,,,,,,,,,,,,,,,,
31931,p222604,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31932,p222605,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31933,p222606,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31934,p222607,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31935,p222608,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31936,p222609,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31937,p222610,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31938,p222611,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31939,p222612,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31940,p222613,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31941,p222614,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31942,p222615,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31943,p222616,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31944,p222617,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31945,p222618,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31962,p222636,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31963,p222637,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31964,p222638,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31965,p222639,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31966,p222640,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31967,p222641,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31968,p222642,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31969,p222643,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31970,p222644,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31971,p222645,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31972,p222646,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31973,p222647,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31974,p222648,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31975,p222649,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31976,p222650,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31977,p222651,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31978,p222652,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31979,p222653,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31980,p222654,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31981,p222655,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31982,p222656,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31983,p222657,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31984,p222658,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31985,p222659,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31986,p222660,URU-KA-gina,,,,,,,,,,,,,,,,,,,,,,,,
31989,p222663,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31996,p222670,E-anatum,,,,,,,,,,,,,,,,,,,,,,,,
31997,p222671,Aga-ak,,,,,,,,,,,,,,,,,,,,,,,,
32013,p222687,unattributed,,,,,,,,,,,,,,,,,,,,,,,,
32014,p222688,unattributed,,,,,,,,,,,,,,,,,,,,,,,,
32015,p222689,Bara-heNIdu,,,,,,,,,,,,,,,,,,,,,,,,
32016,p222690,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32017,p222691,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32018,p222692,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32019,p222693,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32020,p222694,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32021,p222695,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32022,p222696,E-IGI.NIM-pa'e,,,,,,,,,,,,,,,,,,,,,,,,
32023,p222697,Lugalda-lu,,,,,,,,,,,,,,,,,,,,,,,,
32024,p222698,LUM-ma,,,,,,,,,,,,,,,,,,,,,,,,
32025,p222699,LUM-ma,,,,,,,,,,,,,,,,,,,,,,,,
32037,p222711,Bara-heNIdu,,,,,,,,,,,,,,,,,,,,,,,,
32043,p222717,"[RN], Offspring of ""Lady Dragon""",,,,,,,,,,,,,,,,,,,,,,,,
32063,p222738,EN.ME-barage-si,,,,,,,,,,,,,,,,,,,,,,,,
32064,p222739,EN.ME-barage-si,,,,,,,,,,,,,,,,,,,,,,,,
32065,p222740,Utuk/Uhub,,,,,,,,,,,,,,,,,,,,,,,,
32066,p222741,Me-silim,,,,,,,,,,,,,,,,,,,,,,,,
32067,p222742,Me-silim,,,,,,,,,,,,,,,,,,,,,,,,
32068,p222743,Me-silim,,,,,,,,,,,,,,,,,,,,,,,,
32069,p222744,Me-silim,,,,,,,,,,,,,,,,,,,,,,,,
32070,p222745,Lugal-SILA-si,,,,,,,,,,,,,,,,,,,,,,,,
32071,p222746,Lugal-UD,,,,,,,,,,,,,,,,,,,,,,,,
32072,p222747,Ur-zage,,,,,,,,,,,,,,,,,,,,,,,,
32073,p222748,Ur-zage,,,,,,,,,,,,,,,,,,,,,,,,
32074,p222749,Lugal-namnir-sum,,,,,,,,,,,,,,,,,,,,,,,,
32075,p222750,unattributed,,,,,,,,,,,,,,,,,,,,,,,,
32076,p222751,Abzu-kidu,,,,,,,,,,,,,,,,,,,,,,,,
32077,p222752,Abzu-kidu,,,,,,,,,,,,,,,,,,,,,,,,
32078,p222753,Nammah,,,,,,,,,,,,,,,,,,,,,,,,
32079,p222754,Ur-Enlil,,,,,,,,,,,,,,,,,,,,,,,,
32080,p222755,Ur-Enlil,,,,,,,,,,,,,,,,,,,,,,,,
32111,p222786,unattributed,,,,,,,,,,,,,,,,,,,,,,,,
32147,p222824,Pa-bilga,,,,,,,,,,,,,,,,,,,,,,,,
32148,p222825,Aka,,,,,,,,,,,,,,,,,,,,,,,,
32149,p222826,Ur-LUM-ma,,,,,,,,,,,,,,,,,,,,,,,,
32150,p222827,Il,,,,,,,,,,,,,,,,,,,,,,,,
32151,p222828,Giša-kidu,,,,,,,,,,,,,,,,,,,,,,,,
32152,p222829,Aka,,,,,,,,,,,,,,,,,,,,,,,,
32154,p222831,Mes-KALAM-du,,,,,,,,,,,,,,,,,,,,,,,,
32155,p222832,Mes-KALAM-du,,,,,,,,,,,,,,,,,,,,,,,,
32156,p222833,Mes-KALAM-du,,,,,,,,,,,,,,,,,,,,,,,,
32157,p222834,Mes-KALAM-du,,,,,,,,,,,,,,,,,,,,,,,,
32158,p222835,Mes-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32159,p222836,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32160,p222837,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32161,p222838,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32162,p222839,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32163,p222840,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32164,p222841,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32165,p222842,A-Ane-pada,,,,,,,,,,,,,,,,,,,,,,,,
32166,p222843,Mes-kiag-nun,,,,,,,,,,,,,,,,,,,,,,,,
32167,p222844,Elili,,,,,,,,,,,,,,,,,,,,,,,,
32168,p222845,Elili,,,,,,,,,,,,,,,,,,,,,,,,
32169,p222846,Ur-pabilsag,,,,,,,,,,,,,,,,,,,,,,,,
32178,p222856,Lugal-SILA; Lugal-...,,,,,,,,,,,,,,,,,,,,,,,,
32180,p222858,An(u)bu,,,,,,,,,,,,,,,,,,,,,,,,
32181,p222859,An(u)bu,,,,,,,,,,,,,,,,,,,,,,,,
32192,p222870,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32193,p222871,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32194,p222872,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32195,p222873,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32196,p222874,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32197,p222875,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32198,p222876,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32199,p222877,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32200,p222878,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32201,p222879,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32202,p222880,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32203,p222881,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32204,p222882,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32205,p222884,En-šakuš-Ana,,,,,,,,,,,,,,,,,,,,,,,,
32206,p222885,Lugal-kigine-dudu,,,,,,,,,,,,,,,,,,,,,,,,
32207,p222886,Lugal-kigine-dudu,,,,,,,,,,,,,,,,,,,,,,,,
32208,p222887,Lugal-kigine-dudu,,,,,,,,,,,,,,,,,,,,,,,,
32209,p222888,Lugal-kigine-dudu,,,,,,,,,,,,,,,,,,,,,,,,
32211,p222891,Lugal-kigine-dudu,,,,,,,,,,,,,,,,,,,,,,,,
32212,p222892,Lugal-kigine-dudu,,,,,,,,,,,,,,,,,,,,,,,,
