factgrid_id,collection,wikidata_id,collection_name,collection_name_native,name_native_iso,collection_url,wiki_url_eng,wiki_url_native,collection_id,cdli_id,collection_holding,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,osm_id,osm_type,geonames_id,notes,url_native_iso,to_be_deleted,cdli_url
,"Art Museum, Graduate School of Arts and Sciences, University of Tokyo, Tokyo, Japan",,"Art Museum, University of Tokyo",,,https://www.u-tokyo.ac.jp/en/academics/grad_arts_sciences.html,,,735,435,Museum,Unknown,Educational institution,Public,0,JPN,JPN.41_1,JPN.41.5_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/435
,"Art Properties Collection, Columbia University, New York, New York, USA",,"Art Properties, Columbia University",Art Properties,eng,https://library.columbia.edu/libraries/avery/art-properties.html,,,736,173,Library,Extant,Educational institution,Group,1,USA,USA.33_1,USA.33.32_1,738973811,way,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/173
,"Artzi, P., Jerusalem",,P. Artzi Collection,,,,,,737,119,Unknown,Unknown,Person,Individual,0,ISR,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/119
,"Ashton, Joe, UK",,Joe Ashton Collection,,,,,,738,49,Unknown,Unknown,Person,Individual,0,GBR,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/49
,"Atarashi Collection, Tokyo, Japan",,Atarashi Collection,,,,,,739,779,Unknown,Unknown,Unknown,Unknown,0,JPN,JPN.41_1,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/779
,"Atarashi, Tokyo, Japan",,K. Atarashi Collection,,,,,,740,576,Collection,Unknown,Person,Individual,0,JPN,JPN.41_1,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/576
,"Aurelio Carugo, Ivrea, Italy; A. Carugo, Ivrea, Italy",,Aurelio Carugo Collection,,,,,,741,176; 966,Collection,Unknown,Person,Individual,0,ITA,ITA.13_1,ITA.13.6_1,,,,,,0,
,"Autran, C.",,C. Autran Collection,,,,,,742,315,Collection,Unknown,Person,Individual,0,,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/315
,"Aynard, France",,Aynard Collection,,,,,,743,808,Collection,Unknown,Person,Individual,0,FRA,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/808
,"Azerbaijan Museum, Tabriz, Iran",Q723951,Azerbaijan Museum,Azərbaycan muzeyi,aze,http://www.caroun.com/Museums/IranMuseum/IranMRegion1/AzerbayjanMuseum.htm,https://en.wikipedia.org/wiki/Azerbaijan_Museum,https://az.wikipedia.org/wiki/Azərbaycan_muzeyi,744,1281,Museum,Extant,Agency,Public,1,IRN,IRN.5_1,IRN.5.5_1,495539693,way,0,,aze,0,https://cdli.mpiwg-berlin.mpg.de/collections/1281
,"Azusa Pacific University, Azusa, California, USA",Q4583636,Azusa Pacific University,Azusa Pacific University,eng,https://www.apu.edu,https://en.wikipedia.org/wiki/Azusa_Pacific_University,https://en.wikipedia.org/wiki/Azusa_Pacific_University,745,1003,Unknown,Extant,Educational institution,Group,1,USA,USA.5_1,USA.5.19_1,,,5325430,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/1003
,"Badisches Landesmuseum, Karlsruhe, Germany",Q799168,Badisches Landesmuseum,Badisches Landesmuseum,deu,https://www.landesmuseum.de,,https://de.wikipedia.org/wiki/Badisches_Landesmuseum,746,895,Museum,Extant,Agency,Public,1,DEU,DEU.1_1,DEU.1.20_1,,,11184715,,deu,0,https://cdli.mpiwg-berlin.mpg.de/collections/895
,"Bailey, USA",,V. E. Bailey Collection,,,,,,747,1047,Collection,Unknown,Person,Individual,0,USA,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1047
,"Bar Ilan University, Ramat Gan, Israel",Q1124657,Bar-Ilan University,אוניברסיטת בר-אילן,heb,https://www.biu.ac.il,https://en.wikipedia.org/wiki/Bar-Ilan_University,https://he.wikipedia.org/wiki/אוניברסיטת_בר-אילןאילן,748,414,Collection,Unknown,Agency,Public,1,ISR,,,,,8427216,,heb,0,https://cdli.mpiwg-berlin.mpg.de/collections/414
,"Banque Nationale de Belgique, Brussels, Belgium",Q685918,National Bank of Belgium,Banque Nationale de Belgique,fra,https://www.nbb.be/fr,https://en.wikipedia.org/wiki/National_Bank_of_Belgium,https://fr.wikipedia.org/wiki/Banque_nationale_de_Belgique,749,814,Collection,Unknown,Company,Group,1,BEL,BEL.1_1,BEL.1.1_1,1348588611,node,0,,fra,0,https://cdli.mpiwg-berlin.mpg.de/collections/814
,"Barnycz-Gupieniec, Lodz, Poland",,Barnycz-Gupieniec Collection,,,,,,750,1177,Collection,Unknown,Person,Individual,0,POL,POL.3_1,POL.3.7_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1177
,"Bayerische Staatsbibliothek, Munich, Germany",Q256507,Bayerische Staatsbibliothek,Bayerische Staatsbibliothek,deu,https://www.bsb-muenchen.de,https://en.wikipedia.org/wiki/Bavarian_State_Library,https://de.wikipedia.org/wiki/Bayerische_Staatsbibliothek,751,623,Library,Extant,Agency,Public,1,DEU,DEU.2_1,DEU.2.54_1,,,11874032,,deu,0,https://cdli.mpiwg-berlin.mpg.de/collections/623
,"Beit, Jerusalem",,Beit Collection,,,,,,752,301,Collection,Unknown,Person,Individual,0,ISR,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/301
,"Belding, Joel, Irvine, California, USA",,Joel Belding Collection,,,,,,753,864,Collection,Unknown,Person,Individual,0,USA,USA.5_1,USA.5.30_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/864
,"Beloit College, Beloit, Wisconsin, USA",Q2904557,Wright Museum of Art,Wright Museum of Art,eng,https://www.beloit.edu/wright,https://en.wikipedia.org/wiki/Beloit_College,https://en.wikipedia.org/wiki/Beloit_College,754,249,Museum,Extant,Educational institution,Group,1,USA,USA.14_1,USA.14.102_1,,,5279751,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/249
,"Bensing, New Canaan, Connecticut, USA",,S. Bensing Collection,,,,,,755,450,Collection,Unknown,Person,Individual,0,USA,USA.7_1,USA.7.1_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/450
,"Berghaus, Münster, Germany",,Berghaus Collection,,,,,,756,546,Collection,Unknown,Person,Individual,0,,DEU.10_1,DEU.10.33_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/546
,"Berk (antiquarian), Chicago, Illinois, USA",,Harlan J. Berk Ltd.,Harlan J. Berk Ltd.,eng,https://www.hjbltd.com,,,757,328,Lot,Extant,Company,Group,1,USA,USA.14_1,USA.14.16_1,2667165954,node,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/328
,"Berkshire Museum, Pittsfield, Massachusetts, USA",Q4892280,Berkshire Museum,Berkshire Museum,eng,https://berkshiremuseum.org,https://en.wikipedia.org/wiki/Berkshire_Museum,https://en.wikipedia.org/wiki/Berkshire_Museum,758,858,Museum,Extant,Uncertain,Uncertain,1,USA,USA.22_1,USA.22.2_1,,,4930417,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/858
,"Berlin, Germany",,1053 Anonymous,,,,,,759,1053,Collection,Unknown,Person,Individual,0,DEU,DEU.3_1,DEU.3.1_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1053
,"Berlin, Germany",,1159 Anonymous,,,,,,760,1159,Collection,Unknown,Person,Individual,0,DEU,DEU.3_2,DEU.3.1_2,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1159
,"Berry Library-Learning Center, Black Hills State University, Spearfish, South Dakota, USA",,E. Y. Berry Library-Learning Center,E.Y. Berry Library-Learning Center,eng,https://library.bhsu.edu,,,761,73,Library,Extant,Educational institution,Public,1,USA,USA.42_1,USA.42.40_1,,,8498270,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/73
,"Bethany Biblical Seminary, Chicago, Illinois, USA",Q4897784,Bethany Theological Seminary,Bethany Theological Seminary,eng,https://bethanyseminary.edu,https://en.wikipedia.org/wiki/Bethany_Theological_Seminary,https://en.wikipedia.org/wiki/Bethany_Theological_Seminary,762,489,Uncertain,Extant,Educational institution,Group,1,USA,USA.15_1,USA.15.90_1,4773948539,node,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/489
,"Biblical Institute, University of Freiburg, Freiburg, Switzerland",,"Departement für Biblische Studien, Universität Freiburg",Departement für Biblische Studien,deu,https://www.unifr.ch/theo/de/fak/org/dbs,,,763,907,Collection,Terminated,Agency,Public,1,CHE,CHE.7_1,CHE.7.4_1,1648372,relation,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/907
,"Bibliothèque de l'Arsenal, Paris, France",Q2256147,Bibliothèque de l’Arsenal,Bibliothèque de l’Arsenal,fra,https://www.bnf.fr/fr/arsenal,https://en.wikipedia.org/wiki/Biblioth%C3%A8que_de_l%27Arsenal,https://fr.wikipedia.org/wiki/Bibliothèque_de_l%27Arsenal,764,20,Library,Extant,Agency,Public,1,FRA,FRA.8_1,FRA.8.3_1,56217774,way,0,,fra,0,https://cdli.mpiwg-berlin.mpg.de/collections/20
